3.93000 	 0
4.35000 	 0
4.77000 	 0
4.77000 	 2
5.04000 	 1
5.04000 	 2
5.32000 	 0
5.32000 	 2
5.61000 	 0
5.61000 	 2
5.88000 	 2
6.16000 	 1
6.16000 	 2
6.44000 	 2
6.58000 	 0
6.58000 	 2
6.72000 	 2
6.99000 	 0
6.99000 	 2
7.27000 	 1
7.27000 	 2
7.55000 	 0
7.55000 	 2
7.82000 	 0
7.82000 	 2
8.10000 	 2
8.37000 	 1
8.37000 	 2
8.65000 	 2
8.79000 	 0
8.79000 	 2
8.93000 	 2
9.21000 	 0
9.21000 	 2
9.49000 	 1
9.49000 	 2
9.77000 	 0
9.77000 	 2
10.05000 	 0
10.05000 	 2
10.32000 	 2
10.60000 	 1
10.60000 	 2
10.88000 	 2
11.02000 	 0
11.02000 	 2
11.16000 	 2
11.43000 	 0
11.43000 	 2
11.70000 	 1
11.70000 	 2
11.98000 	 0
11.98000 	 2
12.26000 	 0
12.26000 	 2
12.54000 	 2
12.82000 	 1
12.82000 	 2
13.10000 	 2
13.24000 	 0
13.66000 	 0
13.66000 	 2
13.94000 	 1
13.94000 	 2
14.21000 	 0
14.21000 	 2
14.49000 	 0
14.49000 	 2
14.77000 	 2
15.05000 	 1
15.05000 	 2
15.32000 	 2
15.46000 	 0
15.46000 	 2
15.59000 	 2
15.87000 	 0
15.87000 	 2
16.15000 	 1
16.15000 	 2
16.43000 	 0
16.43000 	 2
16.70000 	 0
16.70000 	 2
16.98000 	 2
17.27000 	 1
17.27000 	 2
17.54000 	 2
17.68000 	 0
17.68000 	 2
17.82000 	 2
18.10000 	 0
18.10000 	 2
18.38000 	 1
18.38000 	 2
18.65000 	 0
18.65000 	 2
18.93000 	 0
18.93000 	 2
19.21000 	 2
19.89000 	 0
19.89000 	 0
20.03000 	 2
20.17000 	 1
20.31000 	 0
20.31000 	 2
20.45000 	 1
20.59000 	 1
20.73000 	 1
20.87000 	 0
20.87000 	 2
21.01000 	 1
21.15000 	 0
21.29000 	 1
21.43000 	 2
21.43000 	 1
21.57000 	 1
21.71000 	 1
21.84000 	 1
21.98000 	 2
21.98000 	 1
22.12000 	 0
22.12000 	 2
22.26000 	 2
22.40000 	 1
22.54000 	 0
22.54000 	 2
22.68000 	 1
22.82000 	 1
23.09000 	 1
